NO,BULAN,PELANGGAN,SAIDI,SAIFI
1,01/01/2018,138223,1.05,0.77
2,01/02/2018,138586,3.06,2.22
3,01/03/2018,138958,0.1,0.15
4,01/04/2018,139388,0.71,0.96
5,01/05/2018,139853,2.87,1.18
6,01/06/2018,140161,1.4,1.01
7,01/07/2018,140616,1.13,0.67
8,01/08/2018,141056,0.48,0.6
9,01/09/2018,141717,0.02,0.03
10,01/10/2018,142393,0.09,0.26
11,01/11/2018,143119,0.19,0.15
12,01/12/2018,143576,0.57,0.72
13,01/01/2019,144009,0.01,0.01
14,01/02/2019,144386,0.35,0.3
15,01/03/2019,144731,0.07,0.12
16,01/04/2019,145129,0.32,0.53
17,01/05/2019,145585,2.04,1.76
18,01/06/2019,145927,0.82,1.3
19,01/07/2019,146341,1.1,0.94
20,01/08/2019,146591,1.04,0.83
21,01/09/2019,147196,0.23,0.44
22,01/10/2019,147767,0.64,0.51
23,01/11/2019,148175,0.54,0.65
24,01/12/2019,148695,0.54,0.68
25,01/01/2020,149029,2.48,1.36
26,01/02/2020,149323,4.42,1.82
27,01/03/2020,149700,0.53,0.64
28,01/04/2020,150098,3.08,1.8
