NO,UP3,ULP,PENYULANG,ALAMAT,NOMOR_GARDU,NOMOR_TIANG,PHASA,DAYA_KVA,MERK,BEBAN_NOMINAL_AMPERE,JUR_X1_A,JUR_X2_A,JUR_X3_A,N_A_A,JUR_X1_B,JUR_X2_B,JUR_X3_B,N_A_B,BEBAN_REAL_AMPERE,Persentase_BEBAN,TEG_PANGKAL_X1_A,TEG_PANGKAL_X2_A,TEG_PANGKAL_X1_B,TEG_PANGKAL_X2_B,TEG_UJUNG_X1_A,TEG_UJUNG_X2_A,TEG_UJUNG_X1_B,TEG_UJUNG_X2_B,TEG_TM,FREK,TANGGAL,JAM,PETUGAS,KETERANGAN
1,CILACAP,GOMBONG,GBG 06,,,GBG02-149-B19,1,50,B & D,227.27,49.30,102.00,,40.00,,,,,151.3,0.67,194.90,,,,189.90,,,,17.26,50.00,2018-05-05,18.00,YULI PUSPITO/HERY SUGIYANTO,
2,CILACAP,GOMBONG,GBG 10,,,GBG02-149-B33,1,50,TRAFINDO,227.27,13.70,97.40,,98.70,,,,,111.1,0.49,222.70,,,,217.70,,,,19.79,50.00,2018-05-05,18.10,YULI PUSPITO/HERY SUGIYANTO,
3,CILACAP,GOMBONG,GBG 10,,,GBG02-149-B44-S05,1,50,TRAFINDO,227.27,8.20,50.40,,40.90,,,,,58.6,0.26,215.80,,,,210.80,,,,19.16,50.00,2018-05-05,18.17,YULI PUSPITO/HERY SUGIYANTO,
4,CILACAP,GOMBONG,GBG 10,,,GBG02-149-B46,1,50,TRAFINDO,227.27,76.60,78.60,,9.50,,,,,155.2,0.68,219.60,,,,214.60,,,,19.51,50.00,2018-05-05,18.30,YULI PUSPITO/HERY SUGIYANTO,TRAFO REMBES
5,CILACAP,GOMBONG,GBG 10,,,GBG02-149-B51-U08,1,50,TRAFINDO,227.27,68.50,26.60,,111.00,,,,,95.1,0.42,220.36,,,,215.36,,,,19.58,50.00,2018-05-05,18.35,YULI PUSPITO/HERY SUGIYANTO,
6,CILACAP,GOMBONG,GBG 02,,,GBG02-149-B56,1,50,B & D,227.27,43.50,65.80,,21.80,,,,,109.3,0.48,218.00,,,,213.00,,,,19.36,50.00,2018-05-05,18.48,YULI PUSPITO/HERY SUGIYANTO,
7,CILACAP,GOMBONG,GBG 10,,,GBG02-150-S06,1,50,B & D,227.27,72.90,35.90,,39.30,,,,,108.8,0.48,205.20,,,,200.20,,,,18.20,50.00,2018-05-05,19.00,YULI PUSPITO/HERY SUGIYANTO,
8,CILACAP,GOMBONG,GBG 10,,,GBG02-157-S07,1,50,MORAWA,227.27,55.00,46.20,,4.40,,,,,101.2,0.45,221.50,,,,216.50,,,,19.68,50.00,2018-05-05,19.03,YULI PUSPITO/HERY SUGIYANTO,
9,CILACAP,GOMBONG,GBG 06,,,GBG02-157-S10,1,50,B & D,227.27,54.00,4.40,,24.70,,,,,58.4,0.26,221.40,,,,216.40,,,,19.67,50.00,2018-05-05,19.05,YULI PUSPITO/HERY SUGIYANTO,
10,CILACAP,GOMBONG,GBG 10,,,GBG02-157-S10-B07,1,50,B & D,227.27,29.70,17.80,,6.70,,,,,47.5,0.21,222.70,,,,217.70,,,,19.79,50.00,2018-05-05,19.10,YULI PUSPITO/HERY SUGIYANTO,
11,CILACAP,GOMBONG,GBG 10,,,GBG02-157,1,50,SINTRA,227.27,0.00,0.00,,0.00,,,,,0,0.00,0.00,,,,0.00,,,,0.00,50.00,2018-05-05,19.21,YULI PUSPITO/HERY SUGIYANTO,
12,CILACAP,GOMBONG,GBG 04,,,GBG02-159-S05,1,50,SINTRA,227.27,82.10,84.80,,6.90,,,,,166.9,0.73,221.53,,,,216.53,,,,19.68,50.00,2018-05-05,19.27,YULI PUSPITO/HERY SUGIYANTO,
13,CILACAP,GOMBONG,GBG 08,,,GBG02-163-U17,1,50,B & D,227.27,81.50,84.50,,8.30,,,,,166,0.73,220.00,,,,215.00,,,,19.54,50.00,2018-05-05,19.32,YULI PUSPITO/HERY SUGIYANTO,
14,CILACAP,GOMBONG,GBG 10,,,GBG02-163-U27,1,50,B & D,227.27,5.80,45.80,,42.60,,,,,51.6,0.23,223.00,,,,218.00,,,,19.82,50.00,2018-05-05,19.40,YULI PUSPITO/HERY SUGIYANTO,
15,CILACAP,GOMBONG,GBG 10,,,GBG02-163-U32-B04,1,50,MAJINTRA,227.27,63.50,65.50,,56.60,,,,,129,0.57,226.00,,,,221.00,,,,20.09,50.00,2018-05-05,19.50,YULI PUSPITO/HERY SUGIYANTO,
16,CILACAP,GOMBONG,GBG 05,,,GBG02-163-U32-B13,1,50,MAJINTRA,227.27,63.30,78.00,,69.40,,,,,141.3,0.62,198.50,,,,193.50,,,,17.59,50.00,2018-05-05,20.10,YULI PUSPITO/HERY SUGIYANTO,
17,CILACAP,GOMBONG,GBG 05,,,GBG02-163-U36,1,25,B & D,113.64,10.30,46.30,,5.80,,,,,56.6,0.50,214.00,,,,209.00,,,,19.00,50.00,2018-05-05,20.18,YULI PUSPITO/HERY SUGIYANTO,
18,CILACAP,GOMBONG,GBG 10,,,GBG02-163-U37-B09,1,50,TRAFINDO,227.27,57.70,56.30,,2.00,,,,,114,0.50,221.40,,,,216.40,,,,19.67,50.00,2018-05-06,18.30,YULI PUSPITO/HERY SUGIYANTO,
